"recipe_id","recipe_type","dimension","inputs","original_output","tiered_output","status","source","source_path"
"bno:emerald_from_nether_emerald_ore_smelting","minecraft:smelting","nether","bno:nether_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_nether_emerald_ore_smelting.json"
"bno:emerald_from_soul_emerald_ore_blasting","minecraft:blasting","nether","bno:soul_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_soul_emerald_ore_blasting.json"
"bno:emerald_from_soul_emerald_ore_smelting","minecraft:smelting","nether","bno:soul_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_soul_emerald_ore_smelting.json"
"bno:iron_ingot_from_basalt_iron_ore_blasting","minecraft:blasting","nether","bno:basalt_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_basalt_iron_ore_blasting.json"
"bno:iron_ingot_from_basalt_iron_ore_smelting","minecraft:smelting","nether","bno:basalt_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_basalt_iron_ore_smelting.json"
"bno:iron_ingot_from_nether_iron_ore_blasting","minecraft:blasting","nether","bno:nether_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_nether_iron_ore_blasting.json"
"bno:iron_ingot_from_nether_iron_ore_smelting","minecraft:smelting","nether","bno:nether_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_nether_iron_ore_smelting.json"
"bno:iron_ingot_from_soul_iron_ore_blasting","minecraft:blasting","nether","bno:soul_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_soul_iron_ore_blasting.json"
"bno:iron_ingot_from_soul_iron_ore_smelting","minecraft:smelting","nether","bno:soul_iron_ore","minecraft:iron_ingot","minecraft:iron_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/iron_ingot_from_soul_iron_ore_smelting.json"
"bno:lapis_lazuli_from_basalt_lapis_ore_blasting","minecraft:blasting","nether","bno:basalt_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_basalt_lapis_ore_blasting.json"
"bno:lapis_lazuli_from_basalt_lapis_ore_smelting","minecraft:smelting","nether","bno:basalt_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_basalt_lapis_ore_smelting.json"
"bno:lapis_lazuli_from_nether_lapis_ore_blasting","minecraft:blasting","nether","bno:nether_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_nether_lapis_ore_blasting.json"
"bno:lapis_lazuli_from_nether_lapis_ore_smelting","minecraft:smelting","nether","bno:nether_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_nether_lapis_ore_smelting.json"
"bno:lapis_lazuli_from_soul_lapis_ore_blasting","minecraft:blasting","nether","bno:soul_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_soul_lapis_ore_blasting.json"
"bno:lapis_lazuli_from_soul_lapis_ore_smelting","minecraft:smelting","nether","bno:soul_lapis_ore","minecraft:lapis_lazuli","minecraft:lapis_lazuli","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lapis_lazuli_from_soul_lapis_ore_smelting.json"
"bno:lead_ingot_from_basalt_lead_ore_blasting","minecraft:blasting","nether","bno:basalt_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_basalt_lead_ore_blasting.json"
"bno:lead_ingot_from_basalt_lead_ore_smelting","minecraft:smelting","nether","bno:basalt_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_basalt_lead_ore_smelting.json"
"bno:lead_ingot_from_nether_lead_ore_blasting","minecraft:blasting","nether","bno:nether_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_nether_lead_ore_blasting.json"
"bno:lead_ingot_from_nether_lead_ore_smelting","minecraft:smelting","nether","bno:nether_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_nether_lead_ore_smelting.json"
"bno:lead_ingot_from_soul_lead_ore_blasting","minecraft:blasting","nether","bno:soul_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_soul_lead_ore_blasting.json"
"bno:lead_ingot_from_soul_lead_ore_smelting","minecraft:smelting","nether","bno:soul_lead_ore","bno:lead_ingot","bno:lead_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/lead_ingot_from_soul_lead_ore_smelting.json"
"bno:nickel_ingot_from_basalt_nickel_ore_blasting","minecraft:blasting","nether","bno:basalt_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_basalt_nickel_ore_blasting.json"
"bno:nickel_ingot_from_basalt_nickel_ore_smelting","minecraft:smelting","nether","bno:basalt_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_basalt_nickel_ore_smelting.json"
"bno:nickel_ingot_from_nether_nickel_ore_blasting","minecraft:blasting","nether","bno:nether_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_nether_nickel_ore_blasting.json"
"bno:nickel_ingot_from_nether_nickel_ore_smelting","minecraft:smelting","nether","bno:nether_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_nether_nickel_ore_smelting.json"
"bno:nickel_ingot_from_soul_nickel_ore_blasting","minecraft:blasting","nether","bno:soul_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_soul_nickel_ore_blasting.json"
"bno:nickel_ingot_from_soul_nickel_ore_smelting","minecraft:smelting","nether","bno:soul_nickel_ore","bno:nickel_ingot","bno:nickel_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/nickel_ingot_from_soul_nickel_ore_smelting.json"
"bno:osmium_ingot_from_basalt_osmium_ore_blasting","minecraft:blasting","nether","bno:basalt_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_basalt_osmium_ore_blasting.json"
"bno:osmium_ingot_from_basalt_osmium_ore_smelting","minecraft:smelting","nether","bno:basalt_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_basalt_osmium_ore_smelting.json"
"bno:osmium_ingot_from_nether_osmium_ore_blasting","minecraft:blasting","nether","bno:nether_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_nether_osmium_ore_blasting.json"
"bno:osmium_ingot_from_nether_osmium_ore_smelting","minecraft:smelting","nether","bno:nether_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_nether_osmium_ore_smelting.json"
"bno:osmium_ingot_from_soul_osmium_ore_blasting","minecraft:blasting","nether","bno:soul_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_soul_osmium_ore_blasting.json"
"bno:osmium_ingot_from_soul_osmium_ore_smelting","minecraft:smelting","nether","bno:soul_osmium_ore","bno:osmium_ingot","bno:osmium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/osmium_ingot_from_soul_osmium_ore_smelting.json"
"bno:redstone_from_basalt_redstone_ore_blasting","minecraft:blasting","nether","bno:basalt_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_basalt_redstone_ore_blasting.json"
"bno:redstone_from_basalt_redstone_ore_smelting","minecraft:smelting","nether","bno:basalt_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_basalt_redstone_ore_smelting.json"
"bno:redstone_from_nether_redstone_ore_blasting","minecraft:blasting","nether","bno:nether_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_nether_redstone_ore_blasting.json"
"bno:redstone_from_nether_redstone_ore_smelting","minecraft:smelting","nether","bno:nether_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_nether_redstone_ore_smelting.json"
"bno:redstone_from_soul_redstone_ore_blasting","minecraft:blasting","nether","bno:soul_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_soul_redstone_ore_blasting.json"
"bno:redstone_from_soul_redstone_ore_smelting","minecraft:smelting","nether","bno:soul_redstone_ore","minecraft:redstone","minecraft:redstone","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/redstone_from_soul_redstone_ore_smelting.json"
"bno:silver_ingot_from_basalt_silver_ore_blasting","minecraft:blasting","nether","bno:basalt_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_basalt_silver_ore_blasting.json"
"bno:silver_ingot_from_basalt_silver_ore_smelting","minecraft:smelting","nether","bno:basalt_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_basalt_silver_ore_smelting.json"
"bno:silver_ingot_from_nether_silver_ore_blasting","minecraft:blasting","nether","bno:nether_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_nether_silver_ore_blasting.json"
"bno:silver_ingot_from_nether_silver_ore_smelting","minecraft:smelting","nether","bno:nether_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_nether_silver_ore_smelting.json"
"bno:silver_ingot_from_soul_silver_ore_blasting","minecraft:blasting","nether","bno:soul_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_soul_silver_ore_blasting.json"
"bno:silver_ingot_from_soul_silver_ore_smelting","minecraft:smelting","nether","bno:soul_silver_ore","bno:silver_ingot","bno:silver_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/silver_ingot_from_soul_silver_ore_smelting.json"
"bno:tin_ingot_from_basalt_tin_ore_blasting","minecraft:blasting","nether","bno:basalt_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_basalt_tin_ore_blasting.json"
"bno:tin_ingot_from_basalt_tin_ore_smelting","minecraft:smelting","nether","bno:basalt_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_basalt_tin_ore_smelting.json"
"bno:tin_ingot_from_nether_tin_ore_blasting","minecraft:blasting","nether","bno:nether_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_nether_tin_ore_blasting.json"
"bno:tin_ingot_from_nether_tin_ore_smelting","minecraft:smelting","nether","bno:nether_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_nether_tin_ore_smelting.json"
"bno:tin_ingot_from_soul_tin_ore_blasting","minecraft:blasting","nether","bno:soul_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_soul_tin_ore_blasting.json"
"bno:tin_ingot_from_soul_tin_ore_smelting","minecraft:smelting","nether","bno:soul_tin_ore","bno:tin_ingot","bno:tin_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/tin_ingot_from_soul_tin_ore_smelting.json"
"bno:uranium_ingot_from_basalt_uranium_ore_blasting","minecraft:blasting","nether","bno:basalt_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_basalt_uranium_ore_blasting.json"
"bno:uranium_ingot_from_basalt_uranium_ore_smelting","minecraft:smelting","nether","bno:basalt_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_basalt_uranium_ore_smelting.json"
"bno:uranium_ingot_from_nether_uranium_ore_blasting","minecraft:blasting","nether","bno:nether_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_nether_uranium_ore_blasting.json"
"bno:uranium_ingot_from_nether_uranium_ore_smelting","minecraft:smelting","nether","bno:nether_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_nether_uranium_ore_smelting.json"
"bno:uranium_ingot_from_soul_uranium_ore_blasting","minecraft:blasting","nether","bno:soul_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_soul_uranium_ore_blasting.json"
"bno:uranium_ingot_from_soul_uranium_ore_smelting","minecraft:smelting","nether","bno:soul_uranium_ore","bno:uranium_ingot","bno:uranium_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/uranium_ingot_from_soul_uranium_ore_smelting.json"
"bno:zinc_ingot_from_basalt_zinc_ore_blasting","minecraft:blasting","nether","bno:basalt_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_basalt_zinc_ore_blasting.json"
"bno:zinc_ingot_from_basalt_zinc_ore_smelting","minecraft:smelting","nether","bno:basalt_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_basalt_zinc_ore_smelting.json"
"bno:zinc_ingot_from_nether_zinc_ore_blasting","minecraft:blasting","nether","bno:nether_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_nether_zinc_ore_blasting.json"
"bno:zinc_ingot_from_nether_zinc_ore_smelting","minecraft:smelting","nether","bno:nether_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_nether_zinc_ore_smelting.json"
"bno:zinc_ingot_from_soul_zinc_ore_blasting","minecraft:blasting","nether","bno:soul_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_soul_zinc_ore_blasting.json"
"bno:zinc_ingot_from_soul_zinc_ore_smelting","minecraft:smelting","nether","bno:soul_zinc_ore","bno:zinc_ingot","bno:zinc_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/zinc_ingot_from_soul_zinc_ore_smelting.json"
"create:blasting/zinc_ingot_from_ore","minecraft:blasting","overworld","#c:ores/zinc","create:zinc_nugget","create:zinc_nugget","unchanged_no_equivalent","Infinite Domain override","kubejs/data/create/recipe/blasting/zinc_ingot_from_ore.json"
"create:smelting/zinc_ingot_from_ore","minecraft:smelting","overworld","#c:ores/zinc","create:zinc_nugget","create:zinc_nugget","unchanged_no_equivalent","Infinite Domain override","kubejs/data/create/recipe/smelting/zinc_ingot_from_ore.json"
"createnuclear:blasting/lead_ingot_for_lead_ore","minecraft:blasting","overworld","#createnuclear:lead_ores","createnuclear:lead_nugget","createnuclear:lead_nugget","unchanged_no_equivalent","Infinite Domain override","kubejs/data/createnuclear/recipe/blasting/lead_ingot_for_lead_ore.json"
"createnuclear:blasting/raw_uranium_for_uranium_ore","minecraft:blasting","overworld","#createnuclear:uranium_ores","createnuclear:raw_uranium","createnuclear:raw_uranium","unchanged_no_equivalent","createnuclear-1.3.2-beta.3-neoforge.jar","data/createnuclear/recipe/blasting/raw_uranium_for_uranium_ore.json"
"createnuclear:smelting/lead_ingot_for_lead_ore","minecraft:smelting","overworld","#createnuclear:lead_ores","createnuclear:lead_nugget","createnuclear:lead_nugget","unchanged_no_equivalent","Infinite Domain override","kubejs/data/createnuclear/recipe/smelting/lead_ingot_for_lead_ore.json"
"createnuclear:smelting/raw_uranium_for_uranium_ore","minecraft:smelting","overworld","#createnuclear:uranium_ores","createnuclear:raw_uranium","createnuclear:raw_uranium","unchanged_no_equivalent","createnuclear-1.3.2-beta.3-neoforge.jar","data/createnuclear/recipe/smelting/raw_uranium_for_uranium_ore.json"
