"recipe_id","recipe_type","result_id","result_count","correction","override_path"
"primitivestart:plated_bone_axe","minecraft:smithing_transform","primitivestart:plated_bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_axe.json"
"primitivestart:plated_bone_hoe","minecraft:smithing_transform","primitivestart:plated_bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_hoe.json"
"primitivestart:plated_bone_pickaxe","minecraft:smithing_transform","primitivestart:plated_bone_pickaxe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_pickaxe.json"
"primitivestart:plated_bone_shears","minecraft:smithing_transform","primitivestart:plated_bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_shears.json"
"primitivestart:plated_bone_shovel","minecraft:smithing_transform","primitivestart:plated_bone_shovel","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_shovel.json"
"primitivestart:plated_bone_sword","minecraft:smithing_transform","primitivestart:plated_bone_sword","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_sword.json"
"primitivestart:plating_upgrade_smithing_template","minecraft:crafting_shaped","primitivestart:plating_upgrade_smithing_template","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plating_upgrade_smithing_template.json"
"primitivestart:reinforced_bone_arrow","minecraft:smithing_transform","primitivestart:reinforced_bone_arrow","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_arrow.json"
"primitivestart:reinforced_bone_axe","minecraft:smithing_transform","primitivestart:reinforced_bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_axe.json"
"primitivestart:reinforced_bone_hoe","minecraft:smithing_transform","primitivestart:reinforced_bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_hoe.json"
"primitivestart:reinforced_bone_pickaxe","minecraft:smithing_transform","primitivestart:reinforced_bone_pickaxe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_pickaxe.json"
"primitivestart:reinforced_bone_shears","minecraft:smithing_transform","primitivestart:reinforced_bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_shears.json"
"primitivestart:reinforced_bone_shovel","minecraft:smithing_transform","primitivestart:reinforced_bone_shovel","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_shovel.json"
"primitivestart:reinforced_bone_sword","minecraft:smithing_transform","primitivestart:reinforced_bone_sword","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforced_bone_sword.json"
"primitivestart:reinforcement_upgrade_smithing_template","minecraft:crafting_shaped","primitivestart:reinforcement_upgrade_smithing_template","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/reinforcement_upgrade_smithing_template.json"
"primitivestart:smithing_table_from_copper","minecraft:crafting_shaped","minecraft:smithing_table","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/smithing_table_from_copper.json"
