Category,RegistryId,Texture,SourceArt,DerivedOutput,SourceSize,OutputSize,Frames,Method
gem_storage_block,more_ores_more_gems:blockof_sapphire,more_ores_more_gems:block/637608873479978555,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/637608873479978555.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/637608873479978555.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_aquamarine,more_ores_more_gems:block/block_aquamarine,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_aquamarine.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_aquamarine.png,16x16,128x128,1,authored compressed-crystal and beryl relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_amethyst,more_ores_more_gems:block/block_of_amethyst_gem,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_amethyst_gem.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_amethyst_gem.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_ametrine,more_ores_more_gems:block/block_of_ametrine_gem,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_ametrine_gem.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_ametrine_gem.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_black_opal,more_ores_more_gems:block/block_of_black_opal_je3_be2,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_black_opal_je3_be2.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_black_opal_je3_be2.png,16x16,128x128,1,authored compressed-crystal and opal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_citrine,more_ores_more_gems:block/block_of_citrine_gem_1,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_citrine_gem_1.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_citrine_gem_1.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_ekanite,more_ores_more_gems:block/block_of_ekanite,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_ekanite.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_ekanite.png,16x16,128x128,1,authored compressed-crystal and ekanite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_fire_opal,more_ores_more_gems:block/block_of_fire_opal,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_fire_opal.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_fire_opal.png,16x16,128x128,1,authored compressed-crystal and opal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_fluorite_phantom,more_ores_more_gems:block/block_of_fluorite_phantom,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_fluorite_phantom.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_fluorite_phantom.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_heliodor,more_ores_more_gems:block/block_of_heliodor,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_heliodor.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_heliodor.png,16x16,128x128,1,authored compressed-crystal and beryl relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_leucosapphire,more_ores_more_gems:block/block_of_leucosapphire,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_leucosapphire.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_leucosapphire.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_opalized_quartz,more_ores_more_gems:block/block_of_opal_quartz,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_opal_quartz.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_opal_quartz.png,16x16,128x128,1,authored compressed-crystal and opal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_padparadscha,more_ores_more_gems:block/block_of_padparadscha,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_padparadscha.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_padparadscha.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_pink_opal,more_ores_more_gems:block/block_of_pink_opal,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_pink_opal.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_pink_opal.png,16x16,128x128,1,authored compressed-crystal and opal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_rare_sapphire,more_ores_more_gems:block/block_of_rare_sapphire,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_rare_sapphire.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_rare_sapphire.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:ruby_pack_block,more_ores_more_gems:block/block_of_ruby_je3_be2,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_ruby_je3_be2.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_ruby_je3_be2.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_tanzanite,more_ores_more_gems:block/block_of_tanzanite_je3_be2,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_tanzanite_je3_be2.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_tanzanite_je3_be2.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:blockof_titanium,more_ores_more_gems:block/block_of_titanium,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_titanium.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_titanium.png,16x16,128x128,1,authored compressed-crystal and neutral crystal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_titanium_quartz,more_ores_more_gems:block/block_of_titanium_quartz,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_titanium_quartz.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_titanium_quartz.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_ussingite,more_ores_more_gems:block/block_of_ussingite,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_ussingite.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_ussingite.png,16x16,128x128,1,authored compressed-crystal and ussingite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:blockof_white_opal,more_ores_more_gems:block/block_of_white_opal_je3_be2,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/block_of_white_opal_je3_be2.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/block_of_white_opal_je3_be2.png,16x16,128x128,1,authored compressed-crystal and opal relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_black_fluorite,more_ores_more_gems:block/blockfl_black,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_black.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_black.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_blood_fluorite,more_ores_more_gems:block/blockfl_blood,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_blood.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_blood.png,16x32,128x256,2,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_fluorescent_fluorite,more_ores_more_gems:block/blockfl_f,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_f.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_f.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_green_fluorite,more_ores_more_gems:block/blockfl_green,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_green.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_green.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_orange_fluorite,more_ores_more_gems:block/blockfl_orange,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_orange.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_orange.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_orange_pink_fluorite,more_ores_more_gems:block/blockfl_orange_pink,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_orange_pink.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_orange_pink.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_pink_fluorite,more_ores_more_gems:block/blockfl_pink,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_pink.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_pink.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_purple_fluorite,more_ores_more_gems:block/blockfl_purple,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_purple.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_purple.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_purple_green_fluorite,more_ores_more_gems:block/blockfl_purple_green,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_purple_green.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_purple_green.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_white_fluorite,more_ores_more_gems:block/blockfl_white,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_white.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_white.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_ytt_fluorite,more_ores_more_gems:block/blockfl_ytt,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockfl_ytt.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockfl_ytt.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_white_crystal,more_ores_more_gems:block/blockofc,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockofc.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockofc.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_luminous_gem,more_ores_more_gems:block/blockofluminousgem,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockofluminousgem.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockofluminousgem.png,16x16,128x128,1,authored compressed-crystal and fluorite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_sunflare_gem,more_ores_more_gems:block/blockofsunflaregem,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blockofsunflaregem.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blockofsunflaregem.png,16x16,128x128,1,authored compressed-crystal and sunflare relief; non-spatial palette swatches only; no upstream RGB overlay
ore_block,more_ores_more_gems:aetherium_ore,more_ores_more_gems:block/blocksprite_aetherium-ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/blocksprite_aetherium-ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_aetherium-ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:black_opal_ore,more_ores_more_gems:block/blocksprite_black_opal_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_black_opal_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_black_opal_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
gem_storage_block,more_ores_more_gems:blockof_jade,more_ores_more_gems:block/blocksprite_block-of-jade,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blocksprite_block-of-jade.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_block-of-jade.png,16x16,128x128,1,authored compressed-crystal and jade relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_raw_titanium_quartz,more_ores_more_gems:block/blocksprite_block-of-raw_titanium_quartz,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/blocksprite_block-of-raw_titanium_quartz.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_block-of-raw_titanium_quartz.png,16x16,128x128,1,authored compressed-crystal and quartz relief; non-spatial palette swatches only; no upstream RGB overlay
ore_block,more_ores_more_gems:deepslate_aetherium_ore,more_ores_more_gems:block/blocksprite_deepslate_aetherium-ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/blocksprite_deepslate_aetherium-ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_aetherium-ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_black_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_black_opal_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_black_opal_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_black_opal_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_gray_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_gray_opal_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_gray_opal_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_gray_opal_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_jade_ore,more_ores_more_gems:block/blocksprite_deepslate_jade_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_jade_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_jade_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_sunflare_gem_ore,more_ores_more_gems:block/blocksprite_deepslate_of_sunflare_gem,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_of_sunflare_gem_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_of_sunflare_gem.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_shadowite_ore,more_ores_more_gems:block/blocksprite_deepslate_shadowite_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/blocksprite_deepslate_shadowite_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_shadowite_ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_sliver_ore,more_ores_more_gems:block/blocksprite_deepslate_sliver_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/blocksprite_deepslate_sliver_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_sliver_ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_tanzanite_ore,more_ores_more_gems:block/blocksprite_deepslate_tanzanite_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_tanzanite_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_tanzanite_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_white_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_white_opal_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslate_white_opal_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslate_white_opal_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_white_crystal_ore,more_ores_more_gems:block/blocksprite_deepslatewhitecrystalore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_deepslatewhitecrystalore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_deepslatewhitecrystalore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:sunflare_gem_ore,more_ores_more_gems:block/blocksprite_emerald-ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_emerald-ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_emerald-ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:end_stone_shadow_ore,more_ores_more_gems:block/blocksprite_end_stone_shadowite_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/blocksprite_end_stone_shadowite_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_end_stone_shadowite_ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:gray_opal_ore,more_ores_more_gems:block/blocksprite_gray_opal_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_gray_opal_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_gray_opal_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:jade_ore,more_ores_more_gems:block/blocksprite_jade_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/blocksprite_jade_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/blocksprite_jade_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
