RegistryId,Texture,HostFamily,MineralFamily,LastDaysTemplate,AuthoredVariant,Frames,Method
more_ores_more_gems:amethyst_ore,more_ores_more_gems:block/amethyst_ore,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/amethyst_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_black_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_black_opal_ore,deepslate,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_black_opal_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_carnelian_ore,more_ores_more_gems:block/deepslate_carnelian_ore,deepslate,carnelian,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_carnelian_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_ekanite_ore,more_ores_more_gems:block/deepslate_ekanite_ore,deepslate,ekanite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_ekanite_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_gray_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_gray_opal_ore,deepslate,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_gray_opal_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_heliodor_ore,more_ores_more_gems:block/deepslate_heliodor_ore,deepslate,beryl,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_heliodor_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_jade_ore,more_ores_more_gems:block/blocksprite_deepslate_jade_ore,deepslate,jade,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_jade_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_leucosapphire_ore,more_ores_more_gems:block/deepslate_leucosapphire_ore,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_leucosapphire_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_padparadscha_ore,more_ores_more_gems:block/deepslate_padparadscha_ore,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_padparadscha_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_pink_opal_ore,more_ores_more_gems:block/deepslate_pink_opal_ore,deepslate,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_pink_opal_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_rare_sapphire_ore,more_ores_more_gems:block/deepslate_rare_sapphire_ore,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_rare_sapphire_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_sapphire_ore,more_ores_more_gems:block/deepslatesapphireore,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslatesapphireore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_sunflare_gem_ore,more_ores_more_gems:block/blocksprite_deepslate_of_sunflare_gem,deepslate,sunflare,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_redstone_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_of_sunflare_gem.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_tanzanite_ore,more_ores_more_gems:block/blocksprite_deepslate_tanzanite_ore,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_tanzanite_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_topaz_ore,more_ores_more_gems:block/deepslate_topaz-ore,deepslate,topaz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_topaz-ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_ussingite_ore,more_ores_more_gems:block/deepslate_ussingite_ore,deepslate,ussingite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_ussingite_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_white_crystal_ore,more_ores_more_gems:block/blocksprite_deepslatewhitecrystalore,deepslate,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslatewhitecrystalore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_white_opal_ore,more_ores_more_gems:block/blocksprite_deepslate_white_opal_ore,deepslate,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_deepslate_white_opal_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslatee_mysticrain_quartz_ore,more_ores_more_gems:block/deepslate_rainbow_mystic_ore,deepslate,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_rainbow_mystic_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:ekanite_ore,more_ores_more_gems:block/ekanite_ore,stone,ekanite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/ekanite_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fire_opal_ore,more_ores_more_gems:block/fire_opal_ore,nether,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fire_opal_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_1_ore,more_ores_more_gems:block/fluoritetier1ore,stone,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier1ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_1_ore_deepslate,more_ores_more_gems:block/fluoritetier1oredeepslate,deepslate,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier1oredeepslate.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_2_ore,more_ores_more_gems:block/fluoritetier2ore,stone,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier2ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_2_ore_deepslate,more_ores_more_gems:block/fluoritetier2oredeepslate,deepslate,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier2oredeepslate.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_3_ore,more_ores_more_gems:block/fluoritetier3ore,stone,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier3ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:fluorite_tier_3_ore_deepslate,more_ores_more_gems:block/fluoritetier3oredeepslate,deepslate,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/fluoritetier3oredeepslate.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:frost_opal_ore,more_ores_more_gems:block/frost_opal_ore,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/frost_opal_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:gray_opal_ore,more_ores_more_gems:block/blocksprite_gray_opal_ore,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_gray_opal_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:heliodor_ore,more_ores_more_gems:block/heliodor_ore,stone,beryl,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/heliodor_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:jade_ore,more_ores_more_gems:block/blocksprite_jade_ore,stone,jade,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_jade_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:leucosapphire_ore,more_ores_more_gems:block/leucosapphire_ore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/leucosapphire_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:luminous_gem_ore,more_ores_more_gems:block/luminousgemore,stone,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/luminousgemore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:luminous_gem_ore_deepslate,more_ores_more_gems:block/luminousgemoredeepslate,deepslate,fluorite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/luminousgemoredeepslate.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:mysticrain_quartz_ore,more_ores_more_gems:block/rainbow_mystic_ore,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/rainbow_mystic_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:nether_amethyst_ore,more_ores_more_gems:block/nether_amethyst_ore,nether,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/nether_amethyst_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:nether_opalized_quartz_ore,more_ores_more_gems:block/nether_opal_quartz_ore_new,nether,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/nether_opal_quartz_ore_new.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:opalized_quartz_ore,more_ores_more_gems:block/opal_quartz_ore_new,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/opal_quartz_ore_new.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:padparadscha_ore,more_ores_more_gems:block/padparadscha_ore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/padparadscha_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:peridot_ore,more_ores_more_gems:block/blocksprite_peridot-ore,stone,olivine,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_peridot-ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:peridot_ore_deepslate,more_ores_more_gems:block/blocksprite_peridot-ore_deepslate,deepslate,olivine,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_peridot-ore_deepslate.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:pink_opal_ore,more_ores_more_gems:block/pink_opal_ore,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/pink_opal_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:rare_sapphire_ore,more_ores_more_gems:block/rare_sapphire_ore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/rare_sapphire_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:ruby_ore_deepslate,more_ores_more_gems:block/ruby_ore_deepslate,deepslate,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/ruby_ore_deepslate.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:ruby_pack_ore,more_ores_more_gems:block/ruby_ore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/ruby_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:sapphire_ore,more_ores_more_gems:block/sapphireore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/sapphireore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:sunflare_gem_ore,more_ores_more_gems:block/blocksprite_emerald-ore,stone,sunflare,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/redstone_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_emerald-ore.png,44,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:tanzanite_ore,more_ores_more_gems:block/blocksprite_tanzanite_ore,stone,corundum,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_tanzanite_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:titanium_quartz_ore,more_ores_more_gems:block/titanium_quartz_ore,nether,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/titanium_quartz_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:topaz_ore,more_ores_more_gems:block/blocksprite_topaz-ore,stone,topaz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_topaz-ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:ussingite_ore,more_ores_more_gems:block/ussingite_ore,stone,ussingite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/ussingite_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:white_crystal_ore,more_ores_more_gems:block/blocksprite_whitecrystalore,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_whitecrystalore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:white_opal_ore,more_ores_more_gems:block/blocksprite_white_opal_ore,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_white_opal_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
