item_id,mod_namespace,audit_scope,equipment_type,inclusion_evidence,active_recipe_count,recipe_ids,recipe_types,required_materials_or_tags,effective_recipe_sources,quest_reference_count,quest_references,earliest_realistic_era,earliest_era_evidence,mining_tier,mineable_block_hardness,mining_speed,durability,energy_capacity,attack_damage,attack_speed,range,ammunition_or_energy_use,special_abilities,environmental_advantages,repair_method,renewable_resource_requirements,overlap_or_invalidation,recommended_era,recommended_adjustment,progression_role,property_evidence_status,confirmation_notes
ae2:fluix_shovel,ae2,player_tool_or_weapon,_shovel,direct_equipment_registry_suffix,1,ae2:tools/fluix_shovel,minecraft:smithing_transform,#ae2:quartz_shovel;ae2:fluix_block;ae2:fluix_upgrade_smithing_template,mod_jar:appliedenergistics2-19.2.17.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:fluix_sword,ae2,player_tool_or_weapon,_sword,direct_equipment_registry_suffix,1,ae2:tools/fluix_sword,minecraft:smithing_transform,#ae2:quartz_sword;ae2:fluix_block;ae2:fluix_upgrade_smithing_template,mod_jar:appliedenergistics2-19.2.17.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:matter_cannon,ae2,powered_or_ranged_equipment,cannon,powered_equipment_registry_name,1,ae2:tools/matter_cannon,minecraft:crafting_shaped,ae2:cell_component_4k;ae2:energy_cell;ae2:formation_core;allthecompressed:iron_block_2x,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_axe,ae2,player_tool_or_weapon,_axe,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_axe,minecraft:crafting_shaped,#c:gems/quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_cutting_knife,ae2,player_tool_or_weapon,_knife,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_cutting_knife,minecraft:crafting_shaped,#c:gems/quartz;allthecompressed:iron_block_2x;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_hoe,ae2,player_tool_or_weapon,_hoe,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_hoe,minecraft:crafting_shaped,#c:gems/quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_pickaxe,ae2,player_tool_or_weapon,_pickaxe,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_pickaxe,minecraft:crafting_shaped,#c:gems/quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_shovel,ae2,player_tool_or_weapon,_shovel,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_spade,minecraft:crafting_shaped,#c:gems/quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:nether_quartz_sword,ae2,player_tool_or_weapon,_sword,direct_equipment_registry_suffix,1,ae2:tools/nether_quartz_sword,minecraft:crafting_shaped,#c:gems/quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:tiny_tnt,ae2,ammunition_or_explosive,tnt,ordnance_registry_suffix,1,ae2:misc/tiny_tnt,minecraft:crafting_shaped,#ae2:all_quartz_dust;more_ores_more_gems:gunpowder_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:electromagnetic_railgun,ae2lt,player_tool_or_weapon,_railgun,direct_equipment_registry_suffix,1,ae2lt:lightning_assembly/electromagnetic_railgun,ae2lt:lightning_assembly,ae2lt:firmament_alloy_ingot;ae2lt:overload_alloy_plate;ae2lt:ultimate_overload_core,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,1000000 FE base buffer; structural energy module can replace capacity,20 per 2-tick beam settle; charged tiers 100/300/600,,,400 FE/beam settle; charged shots 8000/40000/200000 FE plus 32/96/256 EHV,40% beam or 80% charged armor bypass; optional terrain destruction; EHV3 execution module,,,,,,,,installed_config_verified_partial,Range/module scaling and practical charge cadence need in-game confirmation
ae2lt:module_matrix_shield,ae2lt,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,1,ae2lt:lightning_assembly/module_matrix_shield,ae2lt:lightning_assembly,ae2lt:dense_topological_lattice;ae2lt:overload_module_base;ae2lt:ultimate_overload_core;minecraft:crying_obsidian,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:module_phase_shield,ae2lt,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,1,ae2lt:lightning_assembly/module_phase_shield,ae2lt:lightning_assembly,ae2lt:entangled_topological_lattice;ae2lt:lightning_collapse_matrix;ae2lt:module_matrix_shield;ae2lt:overload_module_base;minecraft:amethyst_shard;minecraft:shulker_shell,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:overload_tnt,ae2lt,ammunition_or_explosive,tnt,ordnance_registry_suffix,1,ae2lt:overload_tnt_from_gunpowder,minecraft:crafting_shaped,ae2lt:overload_crystal_dust;ae2lt:overload_singularity;more_ores_more_gems:gunpowder_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:railgun_module_acceleration,ae2lt,powered_or_modular_upgrade,powered_or_modular_upgrade,progression_upgrade_registry_name,1,ae2lt:lightning_assembly/railgun_module_acceleration,ae2lt:lightning_assembly,ae2lt:firmament_superconducting_wire;ae2lt:overload_module_base;ae2lt:overload_singularity;minecraft:blaze_powder,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:railgun_module_compute,ae2lt,powered_or_modular_upgrade,powered_or_modular_upgrade,progression_upgrade_registry_name,1,ae2lt:lightning_assembly/railgun_module_compute,ae2lt:lightning_assembly,ae2lt:overload_module_base;ae2lt:overload_processor;ae2lt:ultimate_overload_core;minecraft:redstone_block,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:railgun_module_core,ae2lt,powered_or_modular_upgrade,powered_or_modular_upgrade,progression_upgrade_registry_name,1,ae2lt:lightning_assembly/railgun_module_core,ae2lt:lightning_assembly,ae2lt:firmament_alloy_ingot;ae2lt:lightning_collapse_matrix;ae2lt:overload_module_base,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:railgun_module_overload_execution,ae2lt,powered_or_modular_upgrade,powered_or_modular_upgrade,progression_upgrade_registry_name,1,ae2lt:lightning_assembly/railgun_module_overload_execution,ae2lt:lightning_assembly,ae2lt:firmament_superconducting_wire;ae2lt:hyperdimensional_topological_lattice;ae2lt:lightning_collapse_matrix;ae2lt:overload_module_base;minecraft:dragon_egg;minecraft:nether_star;minecraft:trident,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2lt:railgun_module_range,ae2lt,powered_or_modular_upgrade,powered_or_modular_upgrade,progression_upgrade_registry_name,1,ae2lt:lightning_assembly/railgun_module_range,ae2lt:lightning_assembly,ae2lt:dense_topological_lattice;ae2lt:overload_module_base;ae2lt:overload_processor;minecraft:ender_eye,mod_jar:ae2lt-2.0.8.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
aeronautics:mounted_potato_cannon,aeronautics,mounted_or_vehicle_weapon,cannon,mounted_weapon_registry_name,0,,,,,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
buildinggadgets2:gadget_destruction,buildinggadgets2,industrial_block_breaker,industrial_block_breaker,industrial_head_registry_name,1,buildinggadgets2:gadget_destruction,minecraft:crafting_shaped,ae2:annihilation_core;ae2:dense_energy_cell;ae2:engineering_processor;allthecompressed:iron_block_3x,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create:cardboard_sword,create,player_tool_or_weapon,_sword,direct_equipment_registry_suffix,1,create:crafting/appliances/cardboard_sword,minecraft:crafting_shaped,create:cardboard;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create:mechanical_drill,create,industrial_block_breaker,_drill,industrial_head_registry_name,3,create:crafting/kinetics/mechanical_drill;createcybernetics:crushed_drillfist;createcybernetics:crushed_scavenged_drillfist,create:crushing;minecraft:crafting_shaped,allthecompressed:iron_block_1x;create:andesite_alloy_block;create:andesite_casing;createcybernetics:armupgrades_drillfist;createcybernetics:scavenged_drillfist,kubejs_override:Infinite Domain;mod_jar:createcybernetics-0.5.1-neoforge-1.21.1-HOTFIX.jar,1,config/ftbquests/quests/chapters/era_01_mechanical_reconstruction.snbt,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create:mechanical_saw,create,industrial_block_breaker,_saw,industrial_head_registry_name,1,create:crafting/kinetics/mechanical_saw,minecraft:crafting_shaped,create:andesite_casing;create:cogwheel;create:shaft;createmetallurgy:graphite_ingot_mold;tfmg:steel_ingot,kubejs_override:Infinite Domain,1,config/ftbquests/quests/chapters/era_02_heavy_industry.snbt,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create:potato_cannon,create,powered_or_ranged_equipment,cannon,powered_equipment_registry_name,1,create:mechanical_crafting/potato_cannon,create:mechanical_crafting,#c:ingots/copper;create:andesite_alloy;create:fluid_pipe;create:precision_mechanism,mod_jar:create-1.21.1-6.0.10.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_throwable_rope_connector:mounted_rope_launcher,create_aeronautics_throwable_rope_connector,mounted_or_vehicle_weapon,launcher,mounted_weapon_registry_name,1,create_aeronautics_throwable_rope_connector:mounted_rope_launcher,minecraft:crafting_shaped,create:polished_cut_asurine_slab;create_aeronautics_throwable_rope_connector:rope_connector_launcher;simulated:rope_coupling;simulated:rope_winch,mod_jar:create_aeronautics_throwable_rope_connector-0.4.3.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_throwable_rope_connector:rope_connector_launcher,create_aeronautics_throwable_rope_connector,powered_or_ranged_equipment,launcher,powered_equipment_registry_name,1,create_aeronautics_throwable_rope_connector:rope_connector_launcher,create:mechanical_crafting,create:andesite_alloy;create:fluid_pipe;create:polished_cut_asurine_slab;create:precision_mechanism,mod_jar:create_aeronautics_throwable_rope_connector-0.4.3.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_toolgun:creative_magnetic_gun,create_aeronautics_toolgun,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,0,,,,,1,config/ftbquests/quests/chapters/mastery_era_07.snbt,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_toolgun:magnetic_gun,create_aeronautics_toolgun,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,1,create_aeronautics_toolgun:magnetic_gun,minecraft:crafting_shaped,#minecraft:planks;create:brass_block;create:copper_sheet;create:electron_tube;create:precision_mechanism;create:rose_quartz,mod_jar:create_aeronautics_toolgun-0.3.4.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_toolgun:structure_tool,create_aeronautics_toolgun,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,0,,,,,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aeronautics_toolgun:survival_structure_tool,create_aeronautics_toolgun,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,1,create_aeronautics_toolgun:survival_structure_tool,minecraft:crafting_shaped,create:brass_sheet;create:electron_tube;create:precision_mechanism;create_aeronautics_toolgun:magnetic_gun,mod_jar:create_aeronautics_toolgun-0.3.4.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
create_aquatic_ambitions:spiky_shell,create_aquatic_ambitions,ammunition_or_explosive,shell,ordnance_registry_suffix,2,create_aquatic_ambitions:channeling/suspicious_rock;create_aquatic_ambitions:crushing/nautilus_shards,create:crushing;create_aquatic_ambitions:channeling,create_aquatic_ambitions:suspicious_rock;minecraft:nautilus_shell,mod_jar:create_aquatic_ambitions-1.21.1-2.0.4.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:ap_autocannon_round,createbigcannons,ammunition_or_explosive,cannon,ordnance_registry_suffix,1,createbigcannons:ap_autocannon_round,minecraft:crafting_shaped,allthecompressed:iron_block_1x;createbigcannons:cast_iron_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:ap_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:ap_shell,create:mechanical_crafting,#c:ingots/cast_iron;#c:ingots/iron;#createbigcannons:high_explosive_materials;#minecraft:wooden_slabs,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:ap_shot,createbigcannons,ammunition_or_explosive,shot,ordnance_registry_suffix,1,createbigcannons:ap_shot,minecraft:crafting_shaped,#minecraft:wooden_slabs;allthecompressed:iron_block_1x;createbigcannons:cast_iron_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:bag_of_grapeshot,createbigcannons,ammunition_or_explosive,shot,ordnance_registry_suffix,1,createbigcannons:bag_of_grapeshot,minecraft:crafting_shaped,#minecraft:wooden_slabs;#minecraft:wool;createbigcannons:shot_balls;minecraft:string,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:cannon_carriage,createbigcannons,mounted_or_vehicle_weapon,cannon,mounted_weapon_registry_name,1,createbigcannons:cannon_carriage,minecraft:crafting_shaped,#minecraft:planks;create:shaft;createbigcannons:pair_of_cannon_wheels,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:cannon_drill,createbigcannons,industrial_block_breaker,_drill,industrial_head_registry_name,1,createbigcannons:cannon_drill,minecraft:crafting_shaped,allthecompressed:iron_block_1x;create:andesite_casing;create:fluid_pipe;create:piston_extension_pole,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:cannon_mount,createbigcannons,mounted_or_vehicle_weapon,cannon,mounted_weapon_registry_name,1,createbigcannons:cannon_mount,minecraft:crafting_shaped,#c:plates/iron;#createbigcannons:gunpowder;create:andesite_casing;create:shaft,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:cannon_mount_extension,createbigcannons,mounted_or_vehicle_weapon,cannon,mounted_weapon_registry_name,1,createbigcannons:cannon_mount_extension,minecraft:crafting_shaped,#createbigcannons:gunpowder;create:andesite_casing;create:shaft,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:drop_mortar_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:drop_mortar_shell,minecraft:crafting_shaped,#c:plates/iron;#createbigcannons:high_explosive_materials;create:shaft;createbigcannons:powder_charge,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:empty_machine_gun_round,createbigcannons,ammunition_or_explosive,round,ordnance_registry_suffix,1,createbigcannons:cutting/empty_machine_gun_round,create:cutting,createbigcannons:autocannon_cartridge_sheet,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:empty_powder_charge,createbigcannons,ammunition_or_explosive,ammunition_or_explosive,ordnance_registry_suffix,1,createbigcannons:empty_powder_charge,minecraft:crafting_shaped,#minecraft:wool;minecraft:string,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:fixed_cannon_mount,createbigcannons,mounted_or_vehicle_weapon,cannon,mounted_weapon_registry_name,1,createbigcannons:fixed_cannon_mount,minecraft:crafting_shaped,#c:plates/iron;#createbigcannons:gunpowder;create:andesite_casing,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:flak_autocannon_round,createbigcannons,ammunition_or_explosive,cannon,ordnance_registry_suffix,1,createbigcannons:flak_autocannon_round,minecraft:crafting_shaped,#c:plates/iron;#createbigcannons:gunpowder;createbigcannons:shot_balls,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:fluid_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:fluid_shell,create:mechanical_crafting,#c:ingots/iron;#minecraft:wooden_slabs;create:fluid_pipe,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:gas_mask,createbigcannons,material_progression_equipment,material_progression_equipment,environmental_equipment_registry_name,1,createbigcannons:gas_mask,minecraft:crafting_shaped,#createbigcannons:glass;#minecraft:wool;minecraft:leather,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:he_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:he_shell,create:mechanical_crafting,#c:ingots/iron;#createbigcannons:high_explosive_materials;#minecraft:wooden_slabs,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:machine_gun_round,createbigcannons,ammunition_or_explosive,round,ordnance_registry_suffix,2,createbigcannons:machine_gun_round;createbigcannons:sequenced_assembly/assembling_machine_gun_round,create:sequenced_assembly;minecraft:crafting_shaped,#createbigcannons:gunpowder;createbigcannons:empty_machine_gun_round;minecraft:copper_ingot,kubejs_override:Infinite Domain;mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:mortar_stone,createbigcannons,ammunition_or_explosive,ammunition_or_explosive,ordnance_registry_suffix,1,createbigcannons:mortar_stone,minecraft:crafting_shaped,#createbigcannons:stone;#minecraft:wooden_slabs,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:partially_assembled_machine_gun_round,createbigcannons,ammunition_or_explosive,round,ordnance_registry_suffix,0,,,,,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:powder_charge,createbigcannons,ammunition_or_explosive,ammunition_or_explosive,ordnance_registry_suffix,1,createbigcannons:powder_charge,minecraft:crafting_shapeless,createbigcannons:empty_powder_charge;createbigcannons:packed_gunpowder,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:shrapnel_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:shrapnel_shell,create:mechanical_crafting,#c:ingots/iron;#createbigcannons:gunpowder;#minecraft:wooden_slabs;createbigcannons:shot_balls,mod_jar:createbigcannons-5.11.7+mc.1.21.1.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:smoke_shell,createbigcannons,ammunition_or_explosive,shell,ordnance_registry_suffix,1,createbigcannons:smoke_shell,minecraft:crafting_shaped,#c:plates/iron;allthecompressed:hay_block_1x;allthecompressed:iron_block_1x,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
createbigcannons:solid_shot,createbigcannons,ammunition_or_explosive,shot,ordnance_registry_suffix,1,createbigcannons:solid_shot,minecraft:crafting_shaped,#minecraft:wooden_slabs;allthecompressed:iron_block_1x;minecraft:iron_ingot,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
