"id","node_kind","namespace"
"#c:ingots/constantan","tag","c"
"#c:ingots/copper","tag","c"
"#c:ingots/desh","tag","c"
"#c:ingots/duratium","tag","c"
"#c:ingots/electrum","tag","c"
"#c:ingots/energite","tag","c"
"#c:ingots/gold","tag","c"
"#c:ingots/heavy_metal","tag","c"
"#c:ingots/hop_graphite","tag","c"
"#c:ingots/invar","tag","c"
"#c:ingots/iron","tag","c"
"#c:ingots/lead","tag","c"
"#c:ingots/lithium","tag","c"
"#c:ingots/manyullyn","tag","c"
"#c:ingots/necromium","tag","c"
"#c:ingots/netherite","tag","c"
"#c:ingots/nethersteel","tag","c"
"#c:ingots/nickel","tag","c"
"#c:ingots/obdurium","tag","c"
"#c:ingots/osmium","tag","c"
"#c:ingots/platinum","tag","c"
"#c:ingots/plutonium","tag","c"
"#c:ingots/refined_obsidian","tag","c"
"#c:ingots/rose_gold","tag","c"
"#c:ingots/rubber","tag","c"
"#c:ingots/silver","tag","c"
"#c:ingots/steel","tag","c"
"#c:ingots/tin","tag","c"
"#c:ingots/tungsten","tag","c"
"#c:ingots/uranium","tag","c"
"#c:ingots/void_steel","tag","c"
"#c:ingots/zinc","tag","c"
"#c:kerosene","tag","c"
"#c:leathers","tag","c"
"#c:mead","tag","c"
"#c:milk","tag","c"
"#c:milks","tag","c"
"#c:molten_bronze","tag","c"
"#c:molten_cast_iron","tag","c"
"#c:molten_steel","tag","c"
"#c:mushrooms","tag","c"
"#c:nether_stars","tag","c"
"#c:netherracks","tag","c"
"#c:nuggets/aluminum","tag","c"
"#c:nuggets/brass","tag","c"
"#c:nuggets/bronze","tag","c"
"#c:nuggets/cast_iron","tag","c"
"#c:nuggets/constantan","tag","c"
"#c:nuggets/copper","tag","c"
"#c:nuggets/electrum","tag","c"
"#c:nuggets/gold","tag","c"
"#c:nuggets/heavy_metal","tag","c"
"#c:nuggets/invar","tag","c"
"#c:nuggets/iron","tag","c"
"#c:nuggets/lead","tag","c"
"#c:nuggets/lithium","tag","c"
"#c:nuggets/necromium","tag","c"
"#c:nuggets/netherite","tag","c"
"#c:nuggets/nethersteel","tag","c"
"#c:nuggets/nickel","tag","c"
"#c:nuggets/obdurium","tag","c"
"#c:nuggets/osmium","tag","c"
"#c:nuggets/platinum","tag","c"
"#c:nuggets/plutonium","tag","c"
"#c:nuggets/silver","tag","c"
"#c:nuggets/steel","tag","c"
"#c:nuggets/tin","tag","c"
"#c:nuggets/tungsten","tag","c"
"#c:nuggets/void_steel","tag","c"
"#c:nuggets/zinc","tag","c"
"#c:obsidians","tag","c"
"#c:obsidians/normal","tag","c"
"#c:ores/aluminum","tag","c"
"#c:ores/ardite","tag","c"
"#c:ores/coal","tag","c"
"#c:ores/cobalt","tag","c"
"#c:ores/copper","tag","c"
"#c:ores/diamond","tag","c"
"#c:ores/emerald","tag","c"
"#c:ores/fluorite","tag","c"
"#c:ores/gold","tag","c"
"#c:ores/iron","tag","c"
"#c:ores/lapis","tag","c"
"#c:ores/lead","tag","c"
"#c:ores/mithril","tag","c"
"#c:ores/nickel","tag","c"
"#c:ores/osmium","tag","c"
"#c:ores/platinum","tag","c"
"#c:ores/quartz","tag","c"
"#c:ores/quicksilver","tag","c"
"#c:ores/redstone","tag","c"
"#c:ores/silver","tag","c"
"#c:ores/tin","tag","c"
"#c:ores/tungsten","tag","c"
"#c:ores/uranium","tag","c"
"#c:ores/zinc","tag","c"
"#c:paper","tag","c"
"#c:phenolic_resin","tag","c"
"#c:plantoil","tag","c"
"#c:plates","tag","c"
"#c:plates/aluminum","tag","c"
"#c:plates/ardite","tag","c"
"#c:plates/brass","tag","c"
"#c:plates/bronze","tag","c"
"#c:plates/cast_iron","tag","c"
"#c:plates/cobalt","tag","c"
"#c:plates/constantan","tag","c"
"#c:plates/copper","tag","c"
"#c:plates/electrum","tag","c"
"#c:plates/gold","tag","c"
"#c:plates/hop_graphite","tag","c"
"#c:plates/invar","tag","c"
"#c:plates/iron","tag","c"
"#c:plates/lead","tag","c"
"#c:plates/lithium","tag","c"
"#c:plates/manyullyn","tag","c"
"#c:plates/necromium","tag","c"
"#c:plates/netherite","tag","c"
"#c:plates/nickel","tag","c"
"#c:plates/obdurium","tag","c"
"#c:plates/obsidian","tag","c"
"#c:plates/osmium","tag","c"
"#c:plates/plastic","tag","c"
"#c:plates/platinum","tag","c"
"#c:plates/rose_gold","tag","c"
"#c:plates/silver","tag","c"
"#c:plates/steel","tag","c"
"#c:plates/tin","tag","c"
"#c:plates/tungsten","tag","c"
"#c:plates/uranium","tag","c"
"#c:plates/void_steel","tag","c"
"#c:plates/zinc","tag","c"
"#c:player_workstations/furnaces","tag","c"
"#c:raw_materials/aluminum","tag","c"
"#c:raw_materials/ardite","tag","c"
"#c:raw_materials/brass","tag","c"
"#c:raw_materials/bronze","tag","c"
"#c:raw_materials/cobalt","tag","c"
"#c:raw_materials/constantan","tag","c"
"#c:raw_materials/copper","tag","c"
"#c:raw_materials/desh","tag","c"
"#c:raw_materials/dyes/black","tag","c"
"#c:raw_materials/dyes/blue","tag","c"
"#c:raw_materials/dyes/cyan","tag","c"
"#c:raw_materials/dyes/light_gray","tag","c"
"#c:raw_materials/dyes/magenta","tag","c"
"#c:raw_materials/dyes/orange","tag","c"
"#c:raw_materials/dyes/pink","tag","c"
"#c:raw_materials/dyes/red","tag","c"
"#c:raw_materials/dyes/white","tag","c"
"#c:raw_materials/dyes/yellow","tag","c"
"#c:raw_materials/electrum","tag","c"
"#c:raw_materials/gold","tag","c"
"#c:raw_materials/invar","tag","c"
"#c:raw_materials/iron","tag","c"
"#c:raw_materials/lead","tag","c"
"#c:raw_materials/lithium","tag","c"
"#c:raw_materials/mithril","tag","c"
"#c:raw_materials/necromium","tag","c"
"#c:raw_materials/netherite","tag","c"
"#c:raw_materials/nickel","tag","c"
"#c:raw_materials/obdurium","tag","c"
"#c:raw_materials/osmium","tag","c"
"#c:raw_materials/platinum","tag","c"
"#c:raw_materials/quicksilver","tag","c"
"#c:raw_materials/silver","tag","c"
"#c:raw_materials/steel","tag","c"
"#c:raw_materials/tin","tag","c"
"#c:raw_materials/tungsten","tag","c"
"#c:raw_materials/uranium","tag","c"
"#c:raw_materials/void_steel","tag","c"
"#c:raw_materials/zinc","tag","c"
"#c:redstone_acid","tag","c"
"#c:rods/all_metal","tag","c"
"#c:rods/aluminum","tag","c"
"#c:rods/ardite","tag","c"
"#c:rods/blaze","tag","c"
"#c:rods/brass","tag","c"
"#c:rods/bronze","tag","c"
"#c:rods/cobalt","tag","c"
"#c:rods/constantan","tag","c"
"#c:rods/copper","tag","c"
"#c:rods/electrum","tag","c"
"#c:rods/gold","tag","c"
"#c:rods/invar","tag","c"
"#c:rods/iron","tag","c"
"#c:rods/lead","tag","c"
"#c:rods/lithium","tag","c"
"#c:rods/manyullyn","tag","c"
"#c:rods/necromium","tag","c"
"#c:rods/netherite","tag","c"
"#c:rods/nickel","tag","c"
"#c:rods/obdurium","tag","c"
"#c:rods/osmium","tag","c"
"#c:rods/platinum","tag","c"
"#c:rods/rose_gold","tag","c"
"#c:rods/silver","tag","c"
"#c:rods/steel","tag","c"
"#c:rods/tin","tag","c"
"#c:rods/treated_wood","tag","c"
"#c:rods/tungsten","tag","c"
"#c:rods/uranium","tag","c"
"#c:rods/void_steel","tag","c"
"#c:rods/wooden","tag","c"
"#c:rods/zinc","tag","c"
"#c:sands","tag","c"
"#c:sands/colorless","tag","c"
"#c:sands/red","tag","c"
"#c:sandstone/blocks","tag","c"
"#c:sandstone/red_blocks","tag","c"
"#c:sandstone/uncolored_blocks","tag","c"
"#c:seeds","tag","c"
"#c:sheetmetals","tag","c"
"#c:sheetmetals/aluminum","tag","c"
"#c:sheetmetals/copper","tag","c"
"#c:sheetmetals/iron","tag","c"
"#c:sheetmetals/lead","tag","c"
"#c:sheetmetals/steel","tag","c"
"#c:silicon","tag","c"
"#c:slag","tag","c"
"#c:slime_balls","tag","c"
"#c:slimeballs","tag","c"
"#c:stones","tag","c"
"#c:storage_blocks/adamant","tag","c"
"#c:storage_blocks/aluminum","tag","c"
"#c:storage_blocks/biomass","tag","c"
"#c:storage_blocks/biosteel","tag","c"
"#c:storage_blocks/brass","tag","c"
"#c:storage_blocks/bronze","tag","c"
"#c:storage_blocks/cast_iron","tag","c"
"#c:storage_blocks/charcoal","tag","c"
"#c:storage_blocks/clay","tag","c"
"#c:storage_blocks/coal","tag","c"
"#c:storage_blocks/coal_coke","tag","c"
"#c:storage_blocks/constantan","tag","c"
"#c:storage_blocks/copper","tag","c"
"#c:storage_blocks/desh","tag","c"
"#c:storage_blocks/diamond","tag","c"
"#c:storage_blocks/duratium","tag","c"
"#c:storage_blocks/electrum","tag","c"
"#c:storage_blocks/energite","tag","c"
"#c:storage_blocks/entro","tag","c"
"#c:storage_blocks/fluxite","tag","c"
"#c:storage_blocks/gold","tag","c"
"#c:storage_blocks/heavy_metal","tag","c"
"#c:storage_blocks/invar","tag","c"
"#c:storage_blocks/iron","tag","c"
"#c:storage_blocks/lead","tag","c"
"#c:storage_blocks/lithium","tag","c"
"#c:storage_blocks/necromium","tag","c"
"#c:storage_blocks/netherite","tag","c"
"#c:storage_blocks/nethersteel","tag","c"
"#c:storage_blocks/nickel","tag","c"
"#c:storage_blocks/obdurium","tag","c"
"#c:storage_blocks/osmium","tag","c"
"#c:storage_blocks/plastic","tag","c"
"#c:storage_blocks/platinum","tag","c"
"#c:storage_blocks/plutonium","tag","c"
"#c:storage_blocks/pure_crystal/meteor_crystal_block","tag","c"
"#c:storage_blocks/pure_crystal/resonating_crystal_block","tag","c"
"#c:storage_blocks/raw_aluminum","tag","c"
"#c:storage_blocks/raw_ardite","tag","c"
"#c:storage_blocks/raw_brass","tag","c"
"#c:storage_blocks/raw_bronze","tag","c"
"#c:storage_blocks/raw_cobalt","tag","c"
"#c:storage_blocks/raw_constantan","tag","c"
"#c:storage_blocks/raw_copper","tag","c"
"#c:storage_blocks/raw_desh","tag","c"
"#c:storage_blocks/raw_electrum","tag","c"
"#c:storage_blocks/raw_gold","tag","c"
"#c:storage_blocks/raw_invar","tag","c"
"#c:storage_blocks/raw_iron","tag","c"
"#c:storage_blocks/raw_lead","tag","c"
"#c:storage_blocks/raw_lithium","tag","c"
"#c:storage_blocks/raw_necromium","tag","c"
"#c:storage_blocks/raw_netherite","tag","c"
"#c:storage_blocks/raw_nickel","tag","c"
"#c:storage_blocks/raw_obdurium","tag","c"
"#c:storage_blocks/raw_osmium","tag","c"
"#c:storage_blocks/raw_platinum","tag","c"
"#c:storage_blocks/raw_quicksilver","tag","c"
"#c:storage_blocks/raw_silver","tag","c"
"#c:storage_blocks/raw_steel","tag","c"
"#c:storage_blocks/raw_tin","tag","c"
"#c:storage_blocks/raw_tungsten","tag","c"
"#c:storage_blocks/raw_uranium","tag","c"
"#c:storage_blocks/raw_void_steel","tag","c"
"#c:storage_blocks/raw_zinc","tag","c"
"#c:storage_blocks/redstone","tag","c"
"#c:storage_blocks/silicon","tag","c"
"#c:storage_blocks/silver","tag","c"
"#c:storage_blocks/steel","tag","c"
"#c:storage_blocks/tin","tag","c"
"#c:storage_blocks/tungsten","tag","c"
"#c:storage_blocks/uranium","tag","c"
"#c:storage_blocks/uranium_dust","tag","c"
"#c:storage_blocks/void_steel","tag","c"
"#c:storage_blocks/wheat","tag","c"
"#c:storage_blocks/zinc","tag","c"
"#c:strings","tag","c"
"#c:stripped_logs","tag","c"
"#c:stripped_woods","tag","c"
"#c:wine","tag","c"
"#c:wires/aluminum","tag","c"
"#c:wires/ardite","tag","c"
"#c:wires/brass","tag","c"
"#c:wires/bronze","tag","c"
"#c:wires/cobalt","tag","c"
"#c:wires/constantan","tag","c"
"#c:wires/copper","tag","c"
"#c:wires/electrum","tag","c"
"#c:wires/gold","tag","c"
"#c:wires/invar","tag","c"
"#c:wires/iron","tag","c"
"#c:wires/lead","tag","c"
"#c:wires/lithium","tag","c"
"#c:wires/manyullyn","tag","c"
"#c:wires/necromium","tag","c"
"#c:wires/netherite","tag","c"
"#c:wires/nickel","tag","c"
"#c:wires/obdurium","tag","c"
"#c:wires/osmium","tag","c"
"#c:wires/platinum","tag","c"
"#c:wires/rose_gold","tag","c"
"#c:wires/silver","tag","c"
"#c:wires/steel","tag","c"
"#c:wires/tin","tag","c"
"#c:wires/tungsten","tag","c"
"#c:wires/uranium","tag","c"
"#c:wires/void_steel","tag","c"
"#c:wires/zinc","tag","c"
"#create_ultimate_factory:corals","tag","create_ultimate_factory"
"#create_ultimate_factory:dead_corals","tag","create_ultimate_factory"
"#create_winery:grape_pomaces","tag","create_winery"
"#create:casing","tag","create"
"#create:dyed_table_cloths","tag","create"
"#create:postboxes","tag","create"
"#create:pulpifiable","tag","create"
"#create:sandpaper","tag","create"
"#create:seats","tag","create"
"#create:sleepers","tag","create"
"#create:stone_types/andesite","tag","create"
"#create:stone_types/asurine","tag","create"
"#create:stone_types/calcite","tag","create"
"#create:stone_types/crimsite","tag","create"
"#create:stone_types/deepslate","tag","create"
"#create:stone_types/diorite","tag","create"
"#create:stone_types/dripstone","tag","create"
"#create:stone_types/galosphere/allurite","tag","create"
"#create:stone_types/galosphere/amethyst","tag","create"
"#create:stone_types/galosphere/lumiere","tag","create"
"#create:stone_types/granite","tag","create"
"#create:stone_types/limestone","tag","create"
"#create:stone_types/ochrum","tag","create"
"#create:stone_types/scorchia","tag","create"
"#create:stone_types/scoria","tag","create"
"#create:stone_types/tuff","tag","create"
"#create:stone_types/veridium","tag","create"
"#create:upgrade_aquatic/coral","tag","create"
"#create:valve_handles","tag","create"
"#createbigcannons:can_be_nitrated","tag","createbigcannons"
"#createbigcannons:dust_glowstone","tag","createbigcannons"
"#createbigcannons:dusts_redstone","tag","createbigcannons"
"#createbigcannons:gelatinizers","tag","createbigcannons"
"#createbigcannons:gems_quartz","tag","createbigcannons"
"#createbigcannons:glass","tag","createbigcannons"
"#createbigcannons:guncotton","tag","createbigcannons"
"#createbigcannons:gunpowder","tag","createbigcannons"
"#createbigcannons:high_explosive_materials","tag","createbigcannons"
"#createbigcannons:impact_fuze_head","tag","createbigcannons"
"#createbigcannons:inexpensive_big_cartridge_sheet","tag","createbigcannons"
"#createbigcannons:nitro_acidifiers","tag","createbigcannons"
"#createcybernetics:data_shards","tag","createcybernetics"
"#createcybernetics:graphene","tag","createcybernetics"
"#createcybernetics:offal","tag","createcybernetics"
"#createdieselgenerators:fermentable","tag","createdieselgenerators"
"#createmetallurgy:graphite_molds","tag","createmetallurgy"
"#createmetallurgy:light_bulb","tag","createmetallurgy"
"#createnuclear:cloth","tag","createnuclear"
"#createnuclear:lead_ores","tag","createnuclear"
"#createnuclear:stone_types/autunite","tag","createnuclear"
"#createnuclear:uranium_ores","tag","createnuclear"
"#createreautomated:drills/at_least_tier_1","tag","createreautomated"
"#createreautomated:drills/at_least_tier_2","tag","createreautomated"
"#createreautomated:drills/at_least_tier_3","tag","createreautomated"
"#createreautomated:drills/tier_2","tag","createreautomated"
"#enviromine:vent_pipe","tag","enviromine"
"#evilcraft:dark_ores","tag","evilcraft"
"#evilcraft:poisonous","tag","evilcraft"
"#exdeorum:compressed/andesite","tag","exdeorum"
"#exdeorum:compressed/blackstone","tag","exdeorum"
"#exdeorum:compressed/cobbled_deepslate","tag","exdeorum"
"#exdeorum:compressed/cobblestone","tag","exdeorum"
"#exdeorum:compressed/crushed_blackstone","tag","exdeorum"
"#exdeorum:compressed/crushed_deepslate","tag","exdeorum"
"#exdeorum:compressed/crushed_end_stone","tag","exdeorum"
"#exdeorum:compressed/crushed_netherrack","tag","exdeorum"
"#exdeorum:compressed/deepslate","tag","exdeorum"
"#exdeorum:compressed/diorite","tag","exdeorum"
"#exdeorum:compressed/dirt","tag","exdeorum"
"#exdeorum:compressed/dust","tag","exdeorum"
"#exdeorum:compressed/end_stone","tag","exdeorum"
"#exdeorum:compressed/granite","tag","exdeorum"
"#exdeorum:compressed/gravel","tag","exdeorum"
"#exdeorum:compressed/moss_block","tag","exdeorum"
"#exdeorum:compressed/netherrack","tag","exdeorum"
"#exdeorum:compressed/red_sand","tag","exdeorum"
"#exdeorum:compressed/sand","tag","exdeorum"
"#exdeorum:compressed/sands","tag","exdeorum"
"#exdeorum:compressed/soul_sand","tag","exdeorum"
"#exdeorum:hammers","tag","exdeorum"
"#farmersdelight:canvas_signs","tag","farmersdelight"
"#farmersdelight:hanging_canvas_signs","tag","farmersdelight"
"#forge:gems/certus_quartz","tag","forge"
"#forge:gems/fluix","tag","forge"
"#forge:plates/tungsten","tag","forge"
"#iceandfire:charred_blocks","tag","iceandfire"
"#iceandfire:crackled_blocks","tag","iceandfire"
"#iceandfire:dragon_food_meat","tag","iceandfire"
"#iceandfire:dragon_skulls","tag","iceandfire"
"#iceandfire:dragon_steels","tag","iceandfire"
"#iceandfire:frozen_blocks","tag","iceandfire"
"#iceandfire:mob_skulls","tag","iceandfire"
"#iceandfire:scales/sea_serpent","tag","iceandfire"
"#iceandfire:storage_blocks/scales/dragon/fire","tag","iceandfire"
"#iceandfire:storage_blocks/scales/dragon/ice","tag","iceandfire"
"#iceandfire:storage_blocks/scales/dragon/lightning","tag","iceandfire"
"#immersiveengineering:connector_insulator","tag","immersiveengineering"
"#immersiveengineering:scaffolding_slabs/aluminum","tag","immersiveengineering"
"#immersiveengineering:scaffolding_slabs/steel","tag","immersiveengineering"
"#immersiveengineering:scaffoldings/aluminum","tag","immersiveengineering"
