bag,rolls,item,weight,min_count,max_count,per_roll_probability
era5_priority_cache,4,oritech:machine_core_1,10,1,2,0.121951
era5_priority_cache,4,oritech:adamant_ingot,10,1,3,0.121951
era5_priority_cache,4,createcybernetics:component_fiberoptics,10,1,3,0.121951
era5_priority_cache,4,createcybernetics:component_synthnerves,8,1,2,0.097561
era5_priority_cache,4,ae2:energy_cell,6,1,1,0.073171
era6_supply_bag,2,createnuclear:uranium_powder,16,2,6,0.177778
era6_supply_bag,2,createnuclear:yellowcake,14,1,4,0.155556
era6_supply_bag,2,createnuclear:lead_ingot,14,2,6,0.155556
era6_supply_bag,2,createnuclear:reactor_casing,10,1,3,0.111111
era6_supply_bag,2,wastelands:rad_away,12,1,3,0.133333
era6_supply_bag,2,wastelands:purified_water,10,2,6,0.111111
era6_supply_bag,2,oritech:plutonium_dust,8,1,2,0.088889
era6_supply_bag,2,create_new_age:nuclear_fuel,6,1,2,0.066667
era6_priority_cache,4,createnuclear:enriched_yellowcake,14,1,3,0.148936
era6_priority_cache,4,createnuclear:uranium_rod,12,1,3,0.12766
era6_priority_cache,4,oritech:advanced_battery,10,1,1,0.106383
era6_priority_cache,4,oritech:plutonium_pellet,10,1,2,0.106383
era6_priority_cache,4,createnuclear:reactor_casing,14,2,5,0.148936
era6_priority_cache,4,create_new_age:nuclear_fuel,10,2,4,0.106383
era6_priority_cache,4,ae2:engineering_processor,12,1,3,0.12766
era6_priority_cache,4,wastelands:rad_away,12,2,5,0.12766
era7_supply_bag,2,stellaris:desh_ingot,16,1,3,0.181818
era7_supply_bag,2,stellaris:steel_ingot,14,2,6,0.159091
era7_supply_bag,2,stellaris:heavy_metal_ingot,12,1,3,0.136364
era7_supply_bag,2,stellaris:corronium_ingot,10,1,3,0.113636
era7_supply_bag,2,stellaris:oxygen_tank,10,1,2,0.113636
era7_supply_bag,2,stellaris:ice_shard,14,2,6,0.159091
era7_supply_bag,2,oritech:machine_core_5,5,1,1,0.056818
era7_supply_bag,2,ae2:cell_component_16k,7,1,1,0.079545
era7_priority_cache,4,stellaris:desh_block,12,1,2,0.133333
era7_priority_cache,4,stellaris:desh_plating_block,12,1,3,0.133333
era7_priority_cache,4,stellaris:big_oxygen_tank,8,1,1,0.088889
era7_priority_cache,4,oritech:machine_core_5,10,1,2,0.111111
era7_priority_cache,4,ae2:cell_component_64k,8,1,1,0.088889
era7_priority_cache,4,oritech:advanced_battery,12,1,2,0.133333
era7_priority_cache,4,stellaris:heavy_metal_ingot,14,2,5,0.155556
era7_priority_cache,4,stellaris:corronium_ingot,14,2,5,0.155556
era8_supply_bag,2,oritech:prometheum_ingot,12,1,3,0.134831
era8_supply_bag,2,oritech:superconductor,12,1,3,0.134831
era8_supply_bag,2,oritech:machine_core_7,5,1,1,0.05618
era8_supply_bag,2,ae2:cell_component_64k,12,1,2,0.134831
era8_supply_bag,2,ae2:engineering_processor,14,2,5,0.157303
era8_supply_bag,2,ae2:calculation_processor,14,2,5,0.157303
era8_supply_bag,2,stellaris:desh_block,10,1,2,0.11236
era8_supply_bag,2,createnuclear:uranium_rod,10,2,5,0.11236
era8_priority_cache,4,oritech:machine_core_7,12,1,2,0.126316
era8_priority_cache,4,ae2:cell_component_256k,10,1,1,0.105263
era8_priority_cache,4,ae2:dense_energy_cell,7,1,1,0.073684
era8_priority_cache,4,oritech:prometheum_ingot,14,2,5,0.147368
era8_priority_cache,4,oritech:superconductor,14,2,5,0.147368
era8_priority_cache,4,stellaris:desh_block,12,2,4,0.126316
era8_priority_cache,4,createnuclear:reactor_casing,12,2,5,0.126316
era8_priority_cache,4,ae2:engineering_processor,14,3,6,0.147368
