recipe_id,recipe_namespace,recipe_path,recipe_type,enabled,winning_source_kind,winning_source,winning_source_path,definition_count,overridden,input_ids,output_ids,input_ref_count,output_ref_count,normalization_status,input_namespaces,output_namespaces,foreign_input_namespaces,cross_mod_candidate,scaling_class,iron_tier,scaling_replacement_count,scaling_replacements,recommended_override_path
ae2:network/blocks/crystal_processing_growth_accelerator,ae2,network/blocks/crystal_processing_growth_accelerator,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/crystal_processing_growth_accelerator.json,2,True,ae2:fluix_glass_cable; ae2:quartz_glass; allthecompressed:fluix_block_1x; allthecompressed:iron_block_2x,ae2:growth_accelerator,9,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:ingots/iron -> allthecompressed:iron_block_2x; ae2:fluix_block -> allthecompressed:fluix_block_1x,kubejs/data/ae2/recipe/network/blocks/crystal_processing_growth_accelerator.json
ae2:network/blocks/energy_dense_energy_cell,ae2,network/blocks/energy_dense_energy_cell,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/energy_dense_energy_cell.json,2,True,ae2:energy_cell; createnuclear:reactor_casing; oritech:advanced_battery; stellaris:desh_block,ae2:dense_energy_cell,9,1,complete,ae2;createnuclear;oritech;stellaris,ae2,createnuclear;oritech;stellaris,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/energy_dense_energy_cell.json
ae2:network/blocks/energy_energy_acceptor,ae2,network/blocks/energy_energy_acceptor,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor.json,2,True,ae2:quartz_glass; create_new_age:generator_coil; powergrid:transformer_core; tfmg:steel_block,ae2:energy_acceptor,9,1,complete,ae2;create_new_age;powergrid;tfmg,ae2,create_new_age;powergrid;tfmg,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor.json
ae2:network/blocks/energy_energy_acceptor_alt,ae2,network/blocks/energy_energy_acceptor_alt,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor_alt.json,2,True,ae2:quartz_glass; create_new_age:generator_coil; powergrid:transformer_core; tfmg:steel_block,ae2:energy_acceptor,9,1,complete,ae2;create_new_age;powergrid;tfmg,ae2,create_new_age;powergrid;tfmg,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/energy_energy_acceptor_alt.json
ae2:network/blocks/energy_vibration_chamber,ae2,network/blocks/energy_vibration_chamber,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/energy_vibration_chamber.json,2,True,#c:gems/fluix; ae2:energy_acceptor; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:furnace,ae2:vibration_chamber,9,1,complete,ae2;allthecompressed;c;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/energy_vibration_chamber.json
ae2:network/blocks/inscribers,ae2,network/blocks/inscribers,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/inscribers.json,3,True,ae2:fluix_block; create:mechanical_press; create_new_age:copper_wire_block; powergrid:copper_coil,ae2:inscriber,9,1,complete,ae2;create;create_new_age;powergrid,ae2,create;create_new_age;powergrid,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/inscribers.json
ae2:network/blocks/interfaces_interface,ae2,network/blocks/interfaces_interface,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/interfaces_interface.json,2,True,#c:glass_blocks/cheap; ae2:annihilation_core; ae2:formation_core; allthecompressed:iron_block_2x,ae2:interface,8,1,complete,ae2;allthecompressed;c,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/interfaces_interface.json
ae2:network/blocks/io_condenser,ae2,network/blocks/io_condenser,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/io_condenser.json,2,True,#c:dusts/fluix; #c:glass_blocks/cheap; allthecompressed:iron_block_2x,ae2:condenser,9,1,complete,allthecompressed;c,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/io_condenser.json
ae2:network/blocks/io_port,ae2,network/blocks/io_port,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/io_port.json,2,True,#c:glass_blocks/cheap; ae2:drive; ae2:fluix_glass_cable; ae2:logic_processor; allthecompressed:iron_block_2x,ae2:io_port,9,1,complete,ae2;allthecompressed;c,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/io_port.json
ae2:network/blocks/pattern_providers_interface,ae2,network/blocks/pattern_providers_interface,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface.json,2,True,ae2:interface; create_new_age:basic_motor; oritech:machine_core_1; powergrid:integrated_circuit,ae2:pattern_provider,9,1,complete,ae2;create_new_age;oritech;powergrid,ae2,create_new_age;oritech;powergrid,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface.json
ae2:network/blocks/pattern_providers_interface_alt,ae2,network/blocks/pattern_providers_interface_alt,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface_alt.json,2,True,ae2:interface; create_new_age:basic_motor; oritech:machine_core_1; powergrid:integrated_circuit,ae2:pattern_provider,9,1,complete,ae2;create_new_age;oritech;powergrid,ae2,create_new_age;oritech;powergrid,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/pattern_providers_interface_alt.json
ae2:network/blocks/quantum_ring,ae2,network/blocks/quantum_ring,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/quantum_ring.json,2,True,ae2:engineering_processor; createnuclear:reactor_controller; oritech:machine_core_7; stellaris:desh_block,ae2:quantum_ring,9,1,complete,ae2;createnuclear;oritech;stellaris,ae2,createnuclear;oritech;stellaris,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/quantum_ring.json
ae2:network/blocks/spatial_anchor,ae2,network/blocks/spatial_anchor,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/spatial_anchor.json,2,True,ae2:dense_energy_cell; ae2:spatial_cell_component_128; cyberspace:data_hardware; cyberspace:quantum_core; cyberspace:virtual_machine_core; kubejs:darknet_session_injector_tier_8; kubejs:darknet_temporal_core,ae2:spatial_anchor,9,1,complete,ae2;cyberspace;kubejs,ae2,cyberspace;kubejs,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/spatial_anchor.json
ae2:network/blocks/spatial_io_port,ae2,network/blocks/spatial_io_port,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/spatial_io_port.json,2,True,#c:glass_blocks/cheap; ae2:engineering_processor; ae2:fluix_glass_cable; ae2:io_port; allthecompressed:iron_block_2x,ae2:spatial_io_port,9,1,complete,ae2;allthecompressed;c,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/spatial_io_port.json
ae2:network/blocks/storage_chest,ae2,network/blocks/storage_chest,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/storage_chest.json,2,True,#c:glass_blocks/cheap; ae2:fluix_glass_cable; ae2:terminal; allthecompressed:iron_block_2x; minecraft:copper_block,ae2:chest,8,1,complete,ae2;allthecompressed;c;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/storage_chest.json
ae2:network/blocks/storage_drive,ae2,network/blocks/storage_drive,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/storage_drive.json,2,True,ae2:engineering_processor; createnuclear:reactor_controller; oritech:machine_core_7; stellaris:desh_plating_block,ae2:drive,9,1,complete,ae2;createnuclear;oritech;stellaris,ae2,createnuclear;oritech;stellaris,True,unscaled,,0,,kubejs/data/ae2/recipe/network/blocks/storage_drive.json
ae2:network/cells/item_cell_housing,ae2,network/cells/item_cell_housing,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_cell_housing.json,2,True,ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:redstone_block,ae2:item_cell_housing,8,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/item_cell_housing.json
ae2:network/cells/item_storage_cell_16k,ae2,network/cells/item_storage_cell_16k,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_16k.json,2,True,ae2:cell_component_16k; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:redstone_block,ae2:item_storage_cell_16k,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/item_storage_cell_16k.json
ae2:network/cells/item_storage_cell_1k,ae2,network/cells/item_storage_cell_1k,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_1k.json,2,True,ae2:cell_component_1k; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:redstone_block,ae2:item_storage_cell_1k,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/item_storage_cell_1k.json
ae2:network/cells/item_storage_cell_256k,ae2,network/cells/item_storage_cell_256k,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k.json,2,True,ae2:cell_component_256k; createnuclear:reactor_controller; oritech:machine_core_7; stellaris:desh_block,ae2:item_storage_cell_256k,9,1,complete,ae2;createnuclear;oritech;stellaris,ae2,createnuclear;oritech;stellaris,True,unscaled,,0,,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k.json
ae2:network/cells/item_storage_cell_256k_storage,ae2,network/cells/item_storage_cell_256k_storage,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k_storage.json,2,True,ae2:cell_component_256k; createnuclear:reactor_controller; oritech:machine_core_7; stellaris:desh_block,ae2:item_storage_cell_256k,9,1,complete,ae2;createnuclear;oritech;stellaris,ae2,createnuclear;oritech;stellaris,True,unscaled,,0,,kubejs/data/ae2/recipe/network/cells/item_storage_cell_256k_storage.json
ae2:network/cells/item_storage_cell_4k,ae2,network/cells/item_storage_cell_4k,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_4k.json,2,True,ae2:cell_component_4k; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:redstone_block,ae2:item_storage_cell_4k,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/item_storage_cell_4k.json
ae2:network/cells/item_storage_cell_64k,ae2,network/cells/item_storage_cell_64k,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/item_storage_cell_64k.json,2,True,ae2:cell_component_64k; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block; minecraft:redstone_block,ae2:item_storage_cell_64k,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/item_storage_cell_64k.json
ae2:network/cells/spatial_storage_cell_128_cubed,ae2,network/cells/spatial_storage_cell_128_cubed,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_128_cubed.json,2,True,ae2:quartz_glass; ae2:spatial_cell_component_128; allthecompressed:iron_block_2x; minecraft:redstone_block,ae2:spatial_storage_cell_128,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_128_cubed.json
ae2:network/cells/spatial_storage_cell_16_cubed,ae2,network/cells/spatial_storage_cell_16_cubed,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_16_cubed.json,2,True,ae2:quartz_glass; ae2:spatial_cell_component_16; allthecompressed:iron_block_2x; minecraft:redstone_block,ae2:spatial_storage_cell_16,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_16_cubed.json
ae2:network/cells/spatial_storage_cell_2_cubed,ae2,network/cells/spatial_storage_cell_2_cubed,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_2_cubed.json,2,True,ae2:quartz_glass; ae2:spatial_cell_component_2; allthecompressed:iron_block_2x; minecraft:redstone_block,ae2:spatial_storage_cell_2,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/spatial_storage_cell_2_cubed.json
ae2:network/cells/view_cell,ae2,network/cells/view_cell,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/cells/view_cell.json,2,True,#ae2:all_certus_quartz; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:redstone_block,ae2:view_cell,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/cells/view_cell.json
ae2:network/crafting/cpu_crafting_unit,ae2,network/crafting/cpu_crafting_unit,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/crafting/cpu_crafting_unit.json,2,True,ae2:calculation_processor; ae2:fluix_glass_cable; ae2:logic_processor; allthecompressed:iron_block_2x,ae2:crafting_unit,9,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/crafting/cpu_crafting_unit.json
ae2:network/crafting/molecular_assembler,ae2,network/crafting/molecular_assembler,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/crafting/molecular_assembler.json,2,True,ae2:formation_core; create_new_age:basic_motor; oritech:machine_core_1; powergrid:circuit_board,ae2:molecular_assembler,9,1,complete,ae2;create_new_age;oritech;powergrid,ae2,create_new_age;oritech;powergrid,True,unscaled,,0,,kubejs/data/ae2/recipe/network/crafting/molecular_assembler.json
ae2:network/crafting/patterns_blank,ae2,network/crafting/patterns_blank,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/crafting/patterns_blank.json,2,True,#ae2:all_certus_quartz; #c:dusts/glowstone; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:copper_block,ae2:blank_pattern,9,2,complete,ae2;allthecompressed;c;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/crafting/patterns_blank.json
ae2:network/crystal_resonance_generator,ae2,network/crystal_resonance_generator,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/crystal_resonance_generator.json,2,True,ae2:charged_certus_quartz_crystal; allthecompressed:fluix_block_1x; allthecompressed:iron_block_2x; minecraft:copper_block,ae2:crystal_resonance_generator,9,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x; ae2:fluix_block -> allthecompressed:fluix_block_1x,kubejs/data/ae2/recipe/network/crystal_resonance_generator.json
ae2:network/parts/annihilation_plane_alt,ae2,network/parts/annihilation_plane_alt,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt.json,2,True,#ae2:all_fluix; ae2:annihilation_core; allthecompressed:iron_block_2x,ae2:annihilation_plane,6,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt.json
ae2:network/parts/annihilation_plane_alt2,ae2,network/parts/annihilation_plane_alt2,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt2.json,2,True,#ae2:all_fluix; ae2:annihilation_core; allthecompressed:iron_block_2x,ae2:annihilation_plane,6,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/annihilation_plane_alt2.json
ae2:network/parts/export_bus,ae2,network/parts/export_bus,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/export_bus.json,2,True,ae2:formation_core; allthecompressed:iron_block_2x; minecraft:piston,ae2:export_bus,4,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/export_bus.json
ae2:network/parts/formation_plane,ae2,network/parts/formation_plane,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/formation_plane.json,2,True,#ae2:all_fluix; ae2:formation_core; allthecompressed:iron_block_2x,ae2:formation_plane,6,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/formation_plane.json
ae2:network/parts/formation_plane_alt,ae2,network/parts/formation_plane_alt,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/formation_plane_alt.json,2,True,#ae2:all_fluix; ae2:formation_core; allthecompressed:iron_block_2x,ae2:formation_plane,6,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/formation_plane_alt.json
ae2:network/parts/import_bus,ae2,network/parts/import_bus,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/import_bus.json,2,True,ae2:annihilation_core; allthecompressed:iron_block_2x; minecraft:piston,ae2:import_bus,4,1,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/import_bus.json
ae2:network/parts/panels_semi_dark_monitor,ae2,network/parts/panels_semi_dark_monitor,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/panels_semi_dark_monitor.json,2,True,#c:dusts/glowstone; ae2:quartz_glass; allthecompressed:iron_block_2x; minecraft:redstone_block,ae2:semi_dark_monitor,7,3,complete,ae2;allthecompressed;c;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/panels_semi_dark_monitor.json
ae2:network/parts/terminals_crafting,ae2,network/parts/terminals_crafting,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/terminals_crafting.json,2,True,ae2:engineering_processor; ae2:terminal; create:display_link; oritech:machine_core_1; powergrid:integrated_circuit,ae2:crafting_terminal,9,1,complete,ae2;create;oritech;powergrid,ae2,create;oritech;powergrid,True,unscaled,,0,,kubejs/data/ae2/recipe/network/parts/terminals_crafting.json
ae2:network/parts/tunnels_me,ae2,network/parts/tunnels_me,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/parts/tunnels_me.json,2,True,#ae2:all_fluix; ae2:engineering_processor; allthecompressed:iron_block_2x,ae2:me_p2p_tunnel,7,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/parts/tunnels_me.json
